2022-07-24 19:01:46.856,Mode 3 access,100.00," gX: -0.16"," gY: -1.08"," gZ: -0.12",,,
2022-07-24 19:01:46.872,Mode 3 access,100.00," gX: -0.19"," gY: -1.01"," gZ: -0.11",,,
2022-07-24 19:01:46.884,Mode 3 access,100.00," gX: -0.21"," gY: -0.88"," gZ: -0.12",,,
2022-07-24 19:01:46.901,Mode 3 access,100.00," gX: -0.21"," gY: -0.88"," gZ: -0.12",,,
2022-07-24 19:01:46.917,Mode 3 access,100.00," gX: -0.18"," gY: -0.86"," gZ: -0.13",,,
2022-07-24 19:01:46.929,Mode 3 access,100.00," gX: -0.19"," gY: -0.85"," gZ: -0.12",,,
2022-07-24 19:01:46.946,Mode 3 access,100.00," gX: -0.22"," gY: -0.85"," gZ: -0.13",,,
2022-07-24 19:01:46.957,Mode 3 access,100.00," gX: -0.22"," gY: -0.85"," gZ: -0.13",,,
2022-07-24 19:01:46.974,Mode 3 access,100.00," gX: -0.20"," gY: -0.85"," gZ: -0.13",,,
2022-07-24 19:01:46.991,Mode 3 access,100.00," gX: -0.20"," gY: -0.84"," gZ: -0.11",,,
2022-07-24 19:01:47.003,Mode 3 access,100.00," gX: -0.19"," gY: -0.83"," gZ: -0.09",,,
2022-07-24 19:01:47.019,Mode 3 access,100.00," gX: -0.19"," gY: -0.83"," gZ: -0.09",,,
2022-07-24 19:01:47.036,Mode 3 access,100.00," gX: -0.15"," gY: -0.82"," gZ: -0.08",,,
2022-07-24 19:01:47.048,Mode 3 access,100.00," gX: -0.10"," gY: -0.83"," gZ: -0.08",,,
2022-07-24 19:01:47.064,Mode 3 access,100.00," gX: -0.08"," gY: -0.89"," gZ: -0.08",,,
2022-07-24 19:01:47.081,Mode 3 access,100.00," gX: -0.08"," gY: -0.89"," gZ: -0.08",,,
2022-07-24 19:01:47.093,Mode 3 access,100.00," gX: -0.08"," gY: -0.87"," gZ: -0.09",,,
2022-07-24 19:01:47.109,Mode 3 access,100.00," gX: -0.06"," gY: -0.86"," gZ: -0.08",,,
