2022-07-24 20:07:09.405,Mode 3 access,125.00," gX: 0.06"," gY: -0.49"," gZ: -0.09",,,
2022-07-24 20:07:09.421,Mode 3 access,125.00," gX: 0.06"," gY: -0.49"," gZ: -0.09",,,
2022-07-24 20:07:09.434,Mode 3 access,125.00," gX: 0.06"," gY: -0.56"," gZ: -0.12",,,
2022-07-24 20:07:09.450,Mode 3 access,125.00," gX: 0.10"," gY: -0.62"," gZ: -0.15",,,
2022-07-24 20:07:09.466,Mode 3 access,125.00," gX: 0.13"," gY: -0.70"," gZ: -0.17",,,
2022-07-24 20:07:09.479,Mode 3 access,125.00," gX: 0.13"," gY: -0.70"," gZ: -0.17",,,
2022-07-24 20:07:09.495,Mode 3 access,125.00," gX: 0.11"," gY: -0.74"," gZ: -0.19",,,
2022-07-24 20:07:09.512,Mode 3 access,125.00," gX: 0.10"," gY: -0.86"," gZ: -0.20",,,
2022-07-24 20:07:09.524,Mode 3 access,125.00," gX: 0.14"," gY: -1.01"," gZ: -0.23",,,
2022-07-24 20:07:09.540,Mode 3 access,125.00," gX: 0.14"," gY: -1.01"," gZ: -0.23",,,
2022-07-24 20:07:09.556,Mode 3 access,125.00," gX: 0.17"," gY: -1.13"," gZ: -0.26",,,
2022-07-24 20:07:09.569,Mode 3 access,125.00," gX: 0.16"," gY: -1.24"," gZ: -0.29",,,
2022-07-24 20:07:09.585,Mode 3 access,125.00," gX: 0.12"," gY: -1.32"," gZ: -0.32",,,
2022-07-24 20:07:09.602,Mode 3 access,125.00," gX: 0.12"," gY: -1.32"," gZ: -0.32",,,
